約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2020/12/2","2020/12/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,804","13,145","0","-","-","5,000","円"
"2020/12/2","2020/12/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","7,977","12,536","0","-","-","10,000","円"
"2021/1/5","2021/1/8","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,802","13,152","0","-","-","5,000(493)","円"
"2021/1/5","2021/1/12","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","7,851","12,738","0","-","-","10,000","円"
"2021/2/2","2021/2/5","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,664","13,648","0","-","-","5,000(269)","円"
"2021/2/2","2021/2/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","7,595","13,167","0","-","-","10,000","円"
"2021/3/2","2021/3/5","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,474","14,394","0","-","-","5,000(457)","円"
"2021/3/2","2021/3/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","7,253","13,788","0","-","-","10,000","円"
"2021/4/2","2021/4/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,253","15,371","0","-","-","5,000(500)","円"
"2021/4/2","2021/4/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","6,876","14,544","0","-","-","10,000","円"
"2021/5/7","2021/5/12","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,153","15,859","0","-","-","5,000","円"
"2021/5/7","2021/5/13","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","6,730","14,860","0","-","-","10,000","円"
"2021/6/2","2021/6/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","3,135","15,951","0","-","-","5,000(500)","円"
"2021/6/2","2021/6/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","6,602","15,147","0","-","-","10,000","円"
"2021/10/4","2021/10/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","2,976","16,802","0","-","-","5,000(410)","円"
"2021/10/5","2021/10/11","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","6,574","15,212","0","-","-","10,000","円"
"2021/11/2","2021/11/8","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","16,391","18,303","0","-","-","30,000(500)","円"
"2021/11/2","2021/11/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,030","16,625","0","-","-","20,000","円"
"2021/12/2","2021/12/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","16,903","17,749","0","-","-","30,000(500)","円"
"2021/12/2","2021/12/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,544","15,944","0","-","-","20,000","円"
"2022/1/5","2022/1/11","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","6,870","19,408","0","-","-","13,333(500)","円"
"2022/1/5","2022/1/12","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","11,632","17,194","0","-","-","20,000","円"
"2022/2/2","2022/2/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","7,333","18,183","0","-","-","13,333(500)","円"
"2022/2/7","2022/2/14","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,360","16,181","0","-","-","20,000","円"
"2022/3/2","2022/3/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","7,712","17,289","0","-","-","13,333(500)","円"
"2022/3/2","2022/3/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,949","15,445","0","-","-","20,000","円"
"2022/4/4","2022/4/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","6,856","19,447","0","-","-","13,333(500)","円"
"2022/4/4","2022/4/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","11,689","17,110","0","-","-","20,000","円"
"2022/5/6","2022/5/11","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","7,044","18,929","0","-","-","13,333(500)","円"
"2022/5/9","2022/5/13","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,127","16,492","0","-","-","20,000","円"
"2022/6/2","2022/6/7","eMAXIS Slim 米国株式(S&P500)","再投資型","つみたてNISA","買付","積立","7,137","18,682","0","-","-","13,333(6)","円"
"2022/6/2","2022/6/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","つみたてNISA","買付","積立","12,069","16,572","0","-","-","20,000","円"
