約定日,受渡日,ティッカー,銘柄名,口座,取引区分,売買区分,信用区分,弁済期限,決済通貨,数量［株］,単価［USドル］,約定代金［USドル］,為替レート,手数料［USドル］,税金［USドル］,受渡金額［USドル］,受渡金額［円］
"2020/11/17","2020/11/19","QQQ","INVESCO QQQ","一般","現物","買付","-","-","円","1","292.0000","292.00","104.760","1.31","0.13","-","30,739.00"
"2020/11/17","2020/11/19","DIA","SPDR DJ IND AVE","一般","現物","買付","-","-","円","1","299.2800","299.28","104.760","1.34","0.13","-","31,506.00"
"2020/11/26","2020/11/30","QQQ","INVESCO QQQ","一般","現物","売付","-","-","円","1","295.5700","295.57","104.090","1.34","0.13","-","30,613.00"
"2020/12/2","2020/12/4","MGA","MAGNA INTL","特定","現物","買付","-","-","円","2","62.2300","124.46","104.650","0.56","0.05","-","13,087.00"
"2020/12/7","2020/12/9","EPHE","ISHS PHILIPPINES","特定","現物","買付","-","-","円","2","32.7880","65.58","104.360","0.29","0.02","-","6,876.00"
"2020/12/7","2020/12/9","IYR","ISHARES REAL EST","特定","現物","買付","-","-","円","2","86.0100","172.02","104.360","0.77","0.07","-","18,040.00"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","買付","-","-","ＵＳドル","4","26.7600","107.04","104.330","0.48","0.04","107.56","-"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","買付","-","-","ＵＳドル","3","27.2400","81.72","104.330","0.36","0.03","82.11","-"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","買付","-","-","ＵＳドル","1","26.8800","26.88","104.330","0.12","0.01","27.01","-"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","売付","-","-","ＵＳドル","4","27.0800","108.32","103.830","0.49","0.04","107.79","-"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","売付","-","-","ＵＳドル","2","27.6100","55.22","103.830","0.25","0.02","54.95","-"
"2020/12/8","2020/12/10","PLTR","PALANTIR TECHNO","特定","現物","売付","-","-","ＵＳドル","2","27.4800","54.96","103.830","0.25","0.02","54.69","-"
"2020/12/8","2020/12/10","DIA","SPDR DJ IND AVE","一般","現物","売付","-","-","ＵＳドル","1","301.3300","301.33","103.830","1.36","0.13","299.84","-"
"2020/12/9","2020/12/11","PLTR","PALANTIR TECHNO","特定","現物","買付","-","-","ＵＳドル","3","28.7200","86.16","104.410","0.38","0.03","86.57","-"
"2020/12/9","2020/12/11","PLTR","PALANTIR TECHNO","特定","現物","売付","-","-","ＵＳドル","1","29.3400","29.34","103.910","0.14","0.01","29.19","-"
"2020/12/9","2020/12/11","HYLN","HYLIION HOLDINGS","特定","現物","買付","-","-","ＵＳドル","3","19.5800","58.74","104.410","0.26","0.02","59.02","-"
